dataset	method	from	to	weight	from_name	to_name	asso_est	asso_type	edge_betw	name_from_sorted	name_to_sorted	edge_name
ST106_FMBN_ps	spieceasi	5	11	0.29289321881345254	Lactobacillus complex	Streptococcus	1.1102230246251565e-16	copres	1	Lactobacillus complex	Streptococcus	Lactobacillus complex--Streptococcus
ST106_FMBN_ps	sparcc	1	2	0.6928498130108769	Brachybacterium	Brevibacterium	0.8113175252650935	copres	4.666666666666667	Brachybacterium	Brevibacterium	Brachybacterium--Brevibacterium
ST106_FMBN_ps	sparcc	1	4	0.655894113799105	Brachybacterium	Halomonas	0.7631822781637934	copres	1	Brachybacterium	Halomonas	Brachybacterium--Halomonas
ST106_FMBN_ps	sparcc	2	4	0.6760282540416935	Brevibacterium	Halomonas	0.790084615641453	copres	4.666666666666667	Brevibacterium	Halomonas	Brevibacterium--Halomonas
ST106_FMBN_ps	sparcc	3	5	0.8007754840574239	Enterococcus	Lactobacillus complex	0.9206191844948926	copres	1.2000000000000002	Enterococcus	Lactobacillus complex	Enterococcus--Lactobacillus complex
ST106_FMBN_ps	sparcc	3	6	0.7141493025840734	Enterococcus	Lactobacillus	0.8365787575736567	copres	1.2000000000000002	Enterococcus	Lactobacillus	Enterococcus--Lactobacillus
ST106_FMBN_ps	sparcc	5	6	0.7159638014749137	Lactobacillus complex	Lactobacillus	0.8386468758548355	copres	1	Lactobacillus	Lactobacillus complex	Lactobacillus--Lactobacillus complex
ST106_FMBN_ps	sparcc	1	7	0.7322889508672239	Brachybacterium	Lactococcus	0.8566615883444566	copres	5.333333333333333	Brachybacterium	Lactococcus	Brachybacterium--Lactococcus
ST106_FMBN_ps	sparcc	2	7	0.6113401297938529	Brevibacterium	Lactococcus	0.6978870105826818	copres	2.5	Brevibacterium	Lactococcus	Brevibacterium--Lactococcus
ST106_FMBN_ps	sparcc	4	7	0.6798505645752932	Halomonas	Lactococcus	0.795008677994483	copres	5.333333333333333	Halomonas	Lactococcus	Halomonas--Lactococcus
ST106_FMBN_ps	sparcc	5	8	0.7815221258273983	Lactobacillus complex	Lentilactobacillus	0.9045348369940417	copres	1.5333333333333334	Lactobacillus complex	Lentilactobacillus	Lactobacillus complex--Lentilactobacillus
ST106_FMBN_ps	sparcc	6	8	0.6260082011686843	Lactobacillus	Lentilactobacillus	0.7202602688138333	copres	1.5333333333333334	Lactobacillus	Lentilactobacillus	Lactobacillus--Lentilactobacillus
ST106_FMBN_ps	sparcc	3	9	0.5986260145916795	Enterococcus	Loigolactobacillus	0.6777978476748827	copres	2.7	Enterococcus	Loigolactobacillus	Enterococcus--Loigolactobacillus
ST106_FMBN_ps	sparcc	5	9	1	Lactobacillus complex	Loigolactobacillus	1	copres	2.5	Lactobacillus complex	Loigolactobacillus	Lactobacillus complex--Loigolactobacillus
ST106_FMBN_ps	sparcc	6	9	1	Lactobacillus	Loigolactobacillus	1	copres	2.5	Lactobacillus	Loigolactobacillus	Lactobacillus--Loigolactobacillus
ST106_FMBN_ps	sparcc	7	9	1	Lactococcus	Loigolactobacillus	1	copres	9.5	Lactococcus	Loigolactobacillus	Lactococcus--Loigolactobacillus
ST106_FMBN_ps	sparcc	8	9	1	Lentilactobacillus	Loigolactobacillus	1	copres	2.533333333333333	Lentilactobacillus	Loigolactobacillus	Lentilactobacillus--Loigolactobacillus
ST106_FMBN_ps	sparcc	2	10	0.5169585397643681	Brevibacterium	Staphylococcus	0.5333418953868568	copres	6.5	Brevibacterium	Staphylococcus	Brevibacterium--Staphylococcus
ST106_FMBN_ps	sparcc	3	10	0.5504876072685894	Enterococcus	Staphylococcus	0.5958772175617641	copres	2.5833333333333335	Enterococcus	Staphylococcus	Enterococcus--Staphylococcus
ST106_FMBN_ps	sparcc	5	10	0.547317661005724	Lactobacillus complex	Staphylococcus	0.5901573999253429	copres	2.916666666666667	Lactobacillus complex	Staphylococcus	Lactobacillus complex--Staphylococcus
ST106_FMBN_ps	sparcc	6	10	0.5760493545715195	Lactobacillus	Staphylococcus	0.6405317004815496	copres	2.916666666666667	Lactobacillus	Staphylococcus	Lactobacillus--Staphylococcus
ST106_FMBN_ps	sparcc	3	11	0.6340236122506122	Enterococcus	Streptococcus	0.7321225672198195	copres	1.45	Enterococcus	Streptococcus	Enterococcus--Streptococcus
ST106_FMBN_ps	sparcc	5	11	0.8521147162465945	Lactobacillus complex	Streptococcus	0.9562598856983495	copres	1.25	Lactobacillus complex	Streptococcus	Lactobacillus complex--Streptococcus
ST106_FMBN_ps	sparcc	6	11	0.6043286205960715	Lactobacillus	Streptococcus	0.686888319041185	copres	1.25	Lactobacillus	Streptococcus	Lactobacillus--Streptococcus
ST106_FMBN_ps	sparcc	8	11	0.6675455110426098	Lentilactobacillus	Streptococcus	0.7789480255441611	copres	1.2	Lentilactobacillus	Streptococcus	Lentilactobacillus--Streptococcus
