id	new_id	new_genus_species	new_species	new_genus	new_family
Lactobacillus jinshani	Acetilactobacillus jinshanensis	Acetilactobacillus jinshanensis	jinshanensis	Acetilactobacillus	Lactobacillaceae
Lactobacillus composti	Agrilactobacillus composti	Agrilactobacillus composti	composti	Agrilactobacillus	Lactobacillaceae
Lactobacillus yilanensis	Agrilactobacillus yilanensis	Agrilactobacillus yilanensis	yilanensis	Agrilactobacillus	Lactobacillaceae
Lactobacillus amylophilus	Amylolactobacillus amylophilus	Amylolactobacillus amylophilus	amylophilus	Amylolactobacillus	Lactobacillaceae
Lactobacillus amylotrophicus	Amylolactobacillus amylotrophicus	Amylolactobacillus amylotrophicus	amylotrophicus	Amylolactobacillus	Lactobacillaceae
Lactobacillus apinorum	Apilactobacillus apinorum	Apilactobacillus apinorum	apinorum	Apilactobacillus	Lactobacillaceae
Lactobacillus bombintestini	Apilactobacillus bombintestini	Apilactobacillus bombintestini	bombintestini	Apilactobacillus	Lactobacillaceae
Lactobacillus kunkeei	Apilactobacillus kunkeei	Apilactobacillus kunkeei	kunkeei	Apilactobacillus	Lactobacillaceae
Lactobacillus micheneri	Apilactobacillus micheneri	Apilactobacillus micheneri	micheneri	Apilactobacillus	Lactobacillaceae
Lactobacillus ozensis	Apilactobacillus ozensis	Apilactobacillus ozensis	ozensis	Apilactobacillus	Lactobacillaceae
Lactobacillus quenuiae	Apilactobacillus quenuiae	Apilactobacillus quenuiae	quenuiae	Apilactobacillus	Lactobacillaceae
Lactobacillus  timberlakei	Apilactobacillus timberlakei	Apilactobacillus timberlakei	timberlakei	Apilactobacillus	Lactobacillaceae
Lactobacillus bombi	Bombilactobacillus bombi	Bombilactobacillus bombi	bombi	Bombilactobacillus	Lactobacillaceae
Lactobacillus mellifer	Bombilactobacillus mellifer	Bombilactobacillus mellifer	mellifer	Bombilactobacillus	Lactobacillaceae
Lactobacillus mellis	Bombilactobacillus mellis	Bombilactobacillus mellis	mellis	Bombilactobacillus	Lactobacillaceae
Lactobacillus alimentarius	Companilactobacillus alimentarius	Companilactobacillus alimentarius	alimentarius	Companilactobacillus	Lactobacillaceae
Lactobacillus allii	Companilactobacillus allii	Companilactobacillus allii	allii	Companilactobacillus	Lactobacillaceae
Lactobacillus baiquanensis	Companilactobacillus baiquanensis	Companilactobacillus baiquanensis	baiquanensis	Companilactobacillus	Lactobacillaceae
Lactobacillus bobalius	Companilactobacillus bobalius	Companilactobacillus bobalius	bobalius	Companilactobacillus	Lactobacillaceae
Lactobacillus crustorum	Companilactobacillus crustorum	Companilactobacillus crustorum	crustorum	Companilactobacillus	Lactobacillaceae
Lactobacillus farciminis	Companilactobacillus farciminis	Companilactobacillus farciminis	farciminis	Companilactobacillus	Lactobacillaceae
Lactobacillus formosensis	Companilactobacillus formosensis	Companilactobacillus formosensis	formosensis	Companilactobacillus	Lactobacillaceae
Lactobacillus furfuricola	Companilactobacillus furfuricola	Companilactobacillus furfuricola	furfuricola	Companilactobacillus	Lactobacillaceae
Lactobacillus futsaii	Companilactobacillus futsaii	Companilactobacillus futsaii	futsaii	Companilactobacillus	Lactobacillaceae
Lactobacillus ginsenosidimutans	Companilactobacillus ginsenosidimutans	Companilactobacillus ginsenosidimutans	ginsenosidimutans	Companilactobacillus	Lactobacillaceae
Lactobacillus halodurans	Companilactobacillus halodurans	Companilactobacillus halodurans	halodurans	Companilactobacillus	Lactobacillaceae
Lactobacillus heilongjiangensis	Companilactobacillus heilongjiangensis	Companilactobacillus heilongjiangensis	heilongjiangensis	Companilactobacillus	Lactobacillaceae
Lactobacillus huachuanensis 	Companilactobacillus huachuanensis 	Companilactobacillus huachuanensis 	huachuanensis	Companilactobacillus	Lactobacillaceae
Lactobacillus hulinensis	Companilactobacillus hulinensis	Companilactobacillus hulinensis	hulinensis	Companilactobacillus	Lactobacillaceae
Lactobacillus insicii	Companilactobacillus insicii	Companilactobacillus insicii	insicii	Companilactobacillus	Lactobacillaceae
Lactobacillus jidongensis	Companilactobacillus jidongensis	Companilactobacillus jidongensis	jidongensis	Companilactobacillus	Lactobacillaceae
Lactobacillus kedongensis	Companilactobacillus kedongensis	Companilactobacillus kedongensis	kedongensis	Companilactobacillus	Lactobacillaceae
Lactobacillus keshanensis	Companilactobacillus keshanensis	Companilactobacillus keshanensis	keshanensis	Companilactobacillus	Lactobacillaceae
Lactobacillus kimchiensis	Companilactobacillus kimchiensis	Companilactobacillus kimchiensis	kimchiensis	Companilactobacillus	Lactobacillaceae
Lactobacillus  kimchii	Companilactobacillus kimchii	Companilactobacillus kimchii	kimchii	Companilactobacillus	Lactobacillaceae
